artist,art,year,hsv.h.avg,hsv.h.median,hsv.h.min,hsv.h.max,hsv.s.avg,hsv.s.median,hsv.s.min,hsv.s.max,hsv.v.avg,hsv.v.median,hsv.v.min,hsv.v.max,lab.a.avg,lab.a.median,lab.a.min,lab.a.max,lab.b.avg,lab.b.median,lab.b.min,lab.b.max,lab.l.avg,lab.l.median,lab.l.min,lab.l.max,lch.c.avg,lch.c.median,lch.c.min,lch.c.max,lch.h.avg,lch.h.median,lch.h.min,lch.h.max,lch.l.avg,lch.l.median,lch.l.min,lch.l.max,rgb.b.avg,rgb.b.median,rgb.b.min,rgb.b.max,rgb.g.avg,rgb.g.median,rgb.g.min,rgb.g.max,rgb.r.avg,rgb.r.median,rgb.r.min,rgb.r.max
Jan van Eyck,Portrait of a Man with a Blue Chaperon,1430,31,23,1,1,5,27,1,19,21,31,4,16,1,1,13,20,21,23,30,26,14,28,4,21,9,10,1,30,1,2,1,6,14,28,4,21,34,33,5,35,38,38,17,29,38,34,15,13
Jan van Eyck,Portrait of Cardinal Niccolo Albergati,1431,34,3,1,1,26,20,2,6,18,2,3,12,19,2,13,3,15,24,31,29,9,5,1,24,19,20,2,31,1,24,10,16,9,5,1,24,37,36,12,38,40,33,18,32,41,2,15,22
Jan van Eyck,Leal Souvenir,1432,25,13,1,1,16,23,1,17,22,18,1,11,5,9,22,3,17,6,29,2,28,26,3,18,18,6,1,27,1,26,5,12,28,26,3,18,30,29,10,32,20,35,11,27,34,22,10,14
Jan van Eyck,Saint Francis Receiving the Stigmata,1432,37,36,5,5,17,29,3,12,11,35,12,5,6,18,22,32,9,10,5,25,24,29,2,5,15,15,1,32,1,35,12,17,24,29,2,5,40,1,19,3,42,42,19,35,43,37,22,9
Jan van Eyck,Ince Hall Madonna,1433,28,29,1,1,2,16,1,12,11,27,7,6,18,12,2,28,1,1,3,25,27,9,5,17,16,3,1,19,1,13,1,1,27,9,5,17,29,28,7,31,35,34,14,26,11,30,22,17
Jan van Eyck,Arnolfini Portrait,1434,27,28,1,1,11,22,1,15,21,15,3,6,11,11,21,27,18,9,28,7,26,17,4,15,1,1,1,11,1,31,1,1,26,17,4,15,28,28,5,6,34,33,13,25,33,29,12,6
Jan van Eyck,The Annunciation,1434,2,37,1,1,18,11,1,22,16,32,3,20,7,7,17,33,7,1,33,27,28,7,5,26,3,3,1,2,1,16,1,1,28,7,5,26,41,1,20,41,43,30,20,36,37,38,1,24
Jan van Eyck,Madonna of Chancellor Rolin,1435,29,31,1,1,14,25,1,18,19,9,7,1,3,3,10,29,7,9,6,27,24,7,5,8,3,8,1,4,1,32,1,1,24,7,5,8,33,20,10,11,30,10,14,10,5,33,23,1
Jan van Eyck,Portrait of Baudouin de Lannoy,1435,33,34,1,1,2,23,8,3,25,33,3,18,5,13,23,30,18,11,29,28,30,30,4,23,14,19,3,21,1,34,1,1,30,30,4,23,36,35,15,37,39,39,10,31,40,35,18,21
Rogier van der Weyden,Portrait of a Woman,1435,45,17,6,6,11,8,5,6,3,3,10,9,14,21,2,30,2,4,17,20,22,20,7,10,1,6,1,29,1,20,14,19,22,20,7,10,7,15,12,14,49,27,22,13,25,46,6,29
Jan van Eyck,Lucca Madonna,1436,6,4,1,1,24,24,1,6,23,29,10,15,4,9,4,14,2,22,17,26,29,27,7,19,16,6,1,19,1,12,1,13,29,27,7,19,31,30,12,33,36,36,7,28,35,31,6,18
Jan van Eyck,Portrait of a Man with Carnation,1436,32,33,1,1,11,10,1,20,11,32,5,17,1,1,13,26,2,22,20,27,16,29,4,22,13,3,1,18,1,29,10,15,16,29,4,22,35,34,10,36,26,23,13,30,39,33,12,20
Jan van Eyck,The Virgin and Child with Canon van der Paele,1436,38,38,1,1,4,26,1,17,14,10,4,1,2,10,24,8,9,9,30,30,19,15,4,8,6,3,1,33,1,36,1,1,19,15,4,8,25,28,10,42,44,43,11,37,28,39,16,1
Jan van Eyck,Portrait of Giovanni di Nicolao Arnolfini,1438,35,35,1,1,27,16,1,6,26,34,10,8,7,5,24,16,18,12,32,21,31,31,7,25,15,21,1,27,1,27,1,1,31,31,7,25,38,30,12,39,41,40,7,33,42,36,6,10
Jan van Eyck,Portrait of Margaret van Eyck,1439,36,3,1,1,4,28,1,21,22,26,7,19,5,1,14,31,6,16,17,25,9,9,5,13,3,10,1,11,1,26,11,1,9,9,5,13,39,36,5,40,37,41,14,34,34,26,3,23
Jan van Eyck,Madonna in the Church,1440,12,30,1,1,25,5,1,6,24,27,10,1,12,9,16,4,2,22,27,12,20,23,7,20,3,18,1,28,1,14,1,1,20,23,7,20,32,31,12,34,21,37,7,3,36,32,6,1
Rogier van der Weyden,Saint Luke Drawing the Virgin,1440,3,7,1,1,31,35,3,22,31,27,7,11,3,9,18,38,8,4,36,20,18,23,5,7,6,16,1,23,1,28,1,1,18,23,5,7,32,21,4,52,24,18,10,9,37,38,3,14
Jan van Eyck,Madonna of Jan Vos,1441,30,32,1,1,4,26,1,6,14,30,5,11,11,5,13,6,13,3,10,4,28,26,5,4,1,3,1,29,1,33,1,14,28,26,5,4,25,32,12,4,37,21,14,16,37,22,16,19
Rogier van der Weyden,Pieta,1441,12,30,1,1,21,31,9,6,29,39,4,5,5,8,16,17,3,8,18,12,18,26,4,14,8,4,1,19,1,41,1,1,18,26,4,14,42,16,12,47,48,21,2,20,49,37,23,5
Dieric Bouts,Christ in the House of Simon,1445,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,1,3,1,1,3,2,3,3,1,3,3,3,3,3,1,3,3,3,3,3
Petrus Christus,Portrait d'Edward Grimston,1446,6,15,1,1,14,32,9,24,16,10,6,2,7,9,15,14,3,19,34,13,9,7,12,26,13,1,2,15,1,16,1,6,9,7,12,26,18,23,21,43,37,7,21,38,45,38,25,2
Petrus Christus,A Goldsmith in His Shop ,1449,39,30,1,1,28,30,1,6,17,36,10,1,2,2,6,34,22,25,21,31,6,5,7,11,5,22,1,34,1,37,1,1,6,5,7,11,14,19,12,28,31,44,7,14,17,40,6,1
Dieric Bouts, The Way to Paradise,1450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rogier van der Weyden,Virgin and Child,1454,47,33,1,1,30,4,5,6,3,22,3,1,12,8,15,14,4,27,16,30,2,13,5,11,8,24,3,38,1,26,1,1,2,13,5,11,33,40,12,2,1,17,7,5,47,42,17,31
Dieric Bouts,Martyrdom of St. Erasmus ,1458,1,4,1,1,4,4,1,4,2,4,1,1,4,4,4,4,4,4,4,4,1,3,1,4,4,4,1,4,1,4,1,2,1,3,1,4,3,4,3,4,4,4,3,4,4,4,4,1
Dieric Bouts,Martyrdom of St. Erasmus ,1458,4,5,2,2,5,5,2,5,4,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,2,5,1,5,2,3,4,4,4,4,4,5,4,5,4,5,4,5,2,5,5,4
Dieric Bouts,Martyrdom of St. Erasmus ,1458,5,6,1,1,6,6,2,6,5,6,5,5,6,6,6,6,2,6,6,6,5,3,5,5,6,6,2,2,1,6,3,4,5,3,5,5,5,6,5,6,5,6,5,6,5,6,6,5
Petrus Christus,The Virgin and Child Enthroned with Saints Jerome and Francis,1458,41,40,1,1,11,9,2,12,17,22,2,11,19,20,24,5,9,9,35,27,33,1,12,10,18,7,2,1,1,11,1,1,33,1,12,10,13,3,22,45,46,47,23,12,47,42,14,27
Rogier van der Weyden,Crucifixion Diptych,1460,11,5,2,1,30,12,1,6,7,38,4,21,4,14,9,36,24,3,27,32,34,8,4,9,20,3,2,35,1,9,13,15,34,8,4,9,23,38,12,46,47,48,17,8,12,43,6,27
Rogier van der Weyden,Madonna and Child,1460,43,24,1,1,31,31,1,6,28,11,13,1,12,9,16,28,25,26,11,32,1,20,7,3,20,5,1,14,1,40,5,1,1,20,7,3,18,37,12,11,25,9,22,10,7,45,6,3
Rogier van der Weyden,Portrait of a Lady,1460,44,32,1,1,11,3,1,6,18,3,12,22,17,5,3,33,9,17,19,21,5,13,1,24,11,8,1,27,1,42,5,13,5,13,1,24,43,15,20,48,1,5,1,40,50,8,6,28
Rogier van der Weyden,Portrait of Antoine of Burgundy,1460,46,41,1,1,10,32,1,3,24,19,6,4,17,21,3,37,12,10,27,29,18,32,13,20,11,19,1,29,1,32,1,8,18,32,13,20,44,29,1,49,50,49,21,41,21,47,4,4
Rogier van der Weyden,Portrait of Francesco d'Este,1460,9,26,1,1,14,33,1,6,22,1,10,16,1,3,24,7,6,6,29,26,24,5,7,27,11,8,1,13,1,3,1,1,24,5,7,27,4,18,12,50,6,50,7,42,30,7,6,30
Rogier van der Weyden,Portrait of Philippe I de Croy,1460,44,30,1,1,32,34,1,24,30,40,4,13,17,5,22,19,7,9,17,34,35,30,4,28,21,23,1,37,1,24,5,2,35,30,4,28,45,39,14,51,51,36,2,33,51,48,26,15
Dieric Bouts,Portrait of a Man,1462,6,7,1,1,7,7,3,7,6,1,6,6,7,7,7,7,3,3,7,7,6,5,6,6,7,6,2,6,1,7,4,5,6,5,6,6,6,7,6,7,6,7,6,7,6,7,7,6
